product_id,label,manufacturer,certificate_status,ingredients,cluster,umap_1,umap_2
3_fellers_apple_pie,3 fellers apple pie,;,NoCertificate,"white_rice_flour,Salt,Cornstarch,ground_nutmeg,Lemon_Peel,apple_raw,raw_orange,brown_rice_flour,Brown_Sugar,white_egg,granulated_sugar,agents,Tapioca_Flour,unsalted_butter,english_walnut,baking,ground_cinnamon",7,-1.2256964,7.588236
3c_pharma_asthe1000_epuisement_physique_et_mental_bijou_madeleines_nature_sachets,3c pharma asthe1000 epuisement physique et mental bijou madeleines nature sachets,;,NoCertificate,"b5,tryptophan,Citric_acid,citrate_iron,lemon_flavour,taurine,citrulline,aspartic_acid,alpha_acid,sweetener,phenylalanine,arginine,ubiquinone,Orange_Flavour,cinnamon_extract",4,-4.524161,4.9837856
45_pastis,45 pastis,;,NoCertificate,"caramel_e150,alcohol,vegetable_extracts",1,-3.2801015,3.018183
4_paupiettes_de_veau,4 paupiettes de veau,;,NoCertificate,"dehydrated_toto,beet_sugar_dehydrated_red,Water,Beef,Salt,Dextrose,soy,flavouring,dehydrated_toto,beet_sugar_dehydrated_red,Water,Beef,Salt,Dextrose,soy,flavouring",0,3.7784004,10.259684
51st_street_grill_fully_cooked_beef_burgers,51st street grill fully cooked beef burgers,;,NoCertificate,"isolated_oat,flavouring,grill_flavour,hickory_flavour,Beef,Corn,Salt,Water,Dextrose",0,3.1084394,12.283019
7_eleven_inc_beef_jerky,7 eleven inc beef jerky,;,NoCertificate,"Brown_Sugar,Vinegar,hydrolyzed_soy,Water,Citric_acid,Salt,Beef",0,3.2587674,8.537961
7_eleven_inc_juice,7 eleven inc juice,;,NoCertificate,"Flavour,Water,vitamin,blackberry_puree,dried_blueberry,blueberry_puree,fruit,color,Lemon_Juice,banana_puree,grape_seed,apple_juice,Apple_Juice_Concentrate,vegetable_juice",2,1.484869,17.125486
7_eleven_snack_stick,7 eleven snack stick,;,NoCertificate,"less_spices,mechanically_separated,Water,Rice_Flour,Salt,flavoringlactic_acid,Beef,Corn,Paprika_Extract,artificial_flavouring,sodium_diacetate,Dextrose,less_spices,mechanically_separated,Water,Rice_Flour,Salt,flavoringlactic_acid,Beef,Corn,Paprika_Extract,artificial_flavouring,sodium_diacetate,Dextrose",0,6.2891955,8.906829
7_select_7_eleven_inc_100_juice_smoothie_strawberry_banana,7 select 7 eleven inc 100 juice smoothie strawberry banana,;,NoCertificate,"Water,color,strawberry_puree,vitamin,Apple_Juice_Concentrate,Flavour,banana_puree,vegetable_juice,apple_juice,fiber,Lemon_Juice,Dextrin,fruit",2,4.1793923,0.7214866
7_select_7_eleven_inc_bacon,7 select 7 eleven inc bacon,;,NoCertificate,"Water,sodiurythorbate,Sea_Salt,Brown_Sugar,bacon,Sodium_Phosphate",0,5.06593,10.251159
7_select_7_eleven_inc_green_100_juice_smoothie,7 select 7 eleven inc green 100 juice smoothie,;,NoCertificate,"banana_puree,spinach_juice,alfalfa_grass,Water,Lemon_Juice,vitamin,barley_grass,Apple_Juice_Concentrate,apple_juice,Pineapple_Juice,ginger_puree,spirulina,peach_puree,flavours,spinach",2,4.185935,0.6136668
7_select_beef_jerky,7 select beef jerky,;,NoCertificate,"Salt,hydrolyzed_soy,Brown_Sugar,Vinegar,Beef,less_black_pepper,Citric_acid,Water,flavouring",0,4.021594,8.3751745
7_select_hickory_smoked_seasoned_beef_steak,7 select hickory smoked seasoned beef steak,;,NoCertificate,"flavouring,flavour_seasoning,hydrolyzed_soy,extractives_paprika,vinegar_powder,Dextrose,Sugar,Corn,Water,Brown_Sugar,Beef,Salt",0,5.5647573,8.2834835
7_select_original_snack_stick,7 select original snack stick,;,NoCertificate,"mechanically_separated,Beef,Water,hydrolyzed_soy,Corn,Lactic_acid,sodiurythorbate,Citric_acid,Dextrose,skimmed_flavour,Salt,mechanically_separated,Beef,Water,hydrolyzed_soy,Corn,Lactic_acid,sodiurythorbate,Citric_acid,Dextrose,skimmed_flavour,Salt",0,0.53755236,-1.1011356
7up_7up,7up 7up,;,NoCertificate,"apple_juice,Lemon_Juice,juice_lychee",4,-0.70163316,2.9090588
7up_7up_cherry,7up 7up cherry,;,NoCertificate,"grapefruit_juice_rose,grape_juice,apple_juice",2,1.1475698,0.20249407
9999_fish_sauce,9999 fish sauce,;,NoCertificate,"Salt,disodium,potassium,anchovy_extract",5,2.782615,12.1567335
ABC_Kopi_Gula_Susu,ABC Kopi Gula Susu,PT_Santos_Jaya_Abadi;,Renew,"Sugar,Vegetable_Creamer,Coffee_Powder,Creamer_Milk_Powder",1,-2.0386348,5.856577
ABC_Minuman_Sari_Kacang_Hijau,ABC Minuman Sari Kacang Hijau,PT_Jeinz_ABC_Indonesia;,NoCertificate,"Mungbean_Juice,Water,Sugar,Palm_Sugar,Pandan_Leaves,Ginger,Natural_Colourant_Caramel_Class_I_E150a",1,-1.4419432,4.9895744
ABC_Minuman_Sari_Kedelai,ABC Minuman Sari Kedelai,PT_Heinz_ABC_Indonesia;,NoCertificate,"Water,Soya_Bean,Pandan_Leaves,Vegetable_Emulsifier,Salt,Nature_Identical_Flavour_Milk",1,-2.017955,6.6516666
ABC_Sambal_Extra_Pedas_Extra_Hot_Chili_Sauce_,ABC Sambal Extra Pedas Extra Hot Chili Sauce ,PT_Indo_Pangan_Sentosa;,New,"Chili,Sugar,Water,Garlic,Salt,Tapioca_Starch,Acetic_acid,Monosodium_Glutamate,Disodium_guanylate,Disodium_Inosinate",0,2.6350093,8.034087
ABC_Sweet_Soy_Sauce_Kecap_Manis,ABC Sweet Soy Sauce Kecap Manis,PT_Heinz_ABC_Indonesia;,Renew,"Sugar,Water,Salt,Soybean,Wheat,Preservative_Sodium_Benzoate",0,-1.1698601,6.7814026
ACS_Kue_Sagon_Coconut_Cookies_,ACS Kue Sagon Coconut Cookies ,Aneka_Citra_Snack;,NoCertificate,"Wheat_Flour,Coconut,Sugar",1,-2.1508806,5.879487
Al_Dente_Carba_Nada_Fettuccine_Noodles_Lemon_Pepper,Al Dente Carba Nada Fettuccine Noodles Lemon Pepper,Al_Dente_Inc_;,NoCertificate,"Durum_Semolina_Wheat,Niacin,Reduced_Iron,Thiamin_Mononitrate,Riboflavin,Folic_Acidwheat_Gluten,Digestive_Resistant_Cornstarch,Defatted_Soy_Flour,Pasteurized_Whole_Eggs,Lemon_Juice,Lemon_Oil,Lemon_Peel,Cracked_Peppercorns",3,0.56015486,14.417415
Al_Dente_Three_Pepper_Fettuccine_Noodles,Al Dente Three Pepper Fettuccine Noodles,Al_Dente_Inc_;,NoCertificate,"Durum_Semolina_Wheat,Niacin,Reduced_Iron,Thaimin_Mononitrate,Riboflavin,Folic_Acid,Durm_Wheat,Thiamin_Mononitrate,Folic_Acid,Water,Pasteurized_Whole_Eggs,Craked_Peppercons",3,0.36379918,14.168
Asian_Style_Instant_Noodle,Asian Style Instant Noodle,Ottogi_Ramyon_Co_Ltd_;,NoCertificate,"Wheat_Flour,Palm_Oil,Potato_Starch,Modified_Potato_Starch,Salt,Emulsified_Oil,Garlic_Extract,Sodium_Poliphospate,Potassium_carbonate,Alginic_acid,Wheat_Gluten,Sugar,Bonito_Extract_Powder,Red_Pepper,Glucose",0,-0.96262795,10.918188
Astor_Wafer_Stick_Cokelat,Astor Wafer Stick Cokelat,PT_Mayora_Indah_Tbk;,NoCertificate,"Sugar,Wheat_Flour,Vegetable_Oil,milk_powder,Cocoa_Powder,Tapioca_Flour,Cashew_Nut,Maltodextrine,Soya_Lecithin,Caramel_Color,Salt,Artificial_Flavour,Leavening_Agent",7,-2.4028883,8.966873
Beijing_Style_Balck_Bean_Sauce_Noodles,Beijing Style Balck Bean Sauce Noodles,Pulmuone;,NoCertificate,"Starch,Onion,Cabbages,Pork,Salt,Wheat_Flour,potato,Corn_Oil,Green_Onion,Brown_Sugar,Soybean,Wheat,Garlic,Sesame_Oil,Wheat_Flour,Black_Bean,Water,Soy_Sauce,Salt,Sauce",0,3.686395,7.489759
Blue_Band,Blue Band,PT_Unilever_Indonesia_Tbk;,NoCertificate,"Vegetable_Oil,Water,Salt,Vegetable_Emulsifier,Antioxidant,Xanthan_gum,Beta_carotene,Vitamins",1,-1.0430355,5.5378704
Bowl_Noodle_Soup,Bowl Noodle Soup,Paldo_Paldo_Co_Ltd;,NoCertificate,"Palm_Oil,Potato_Starch,Modified_Potato_Starch,Salt,Guar_gum,Glucose,Monosodium_L_glutamate,Sugar,Maltodextrin,Corn_Starch,Whey_Powder,Garlic_Powder,Black_Pepper,Sesame,Beef_Soup_Stock,Dried_Vegetable,Wheat_Flour,Riboflavin",0,-0.63921,11.318846
Cap_Ibu_Sambal_Bajak_Indonesia_Combiation_Chili_Relish,Cap Ibu Sambal Bajak Indonesia Combiation Chili Relish,PD_Setia_Makmur_Mandiri;,NoCertificate,"Chili,Tomato,Shallots,Galangal,Candlenut,Lemon_Grass_Powder,Tamarind,Palm_Sugar,Salt,Vegetable_Oil",0,-0.10833441,7.9581923
Cap_Ibu_Sambal_Kecap_Sweet_Soy_Chili_Sauce_Hot_,Cap Ibu Sambal Kecap Sweet Soy Chili Sauce Hot ,PD_Setia_Makmur_Mandiri;,NoCertificate,"Chili,Shallot,Garlic,Sugar,Salt,Vinegar,Fermented_Shrimp,Sweet_Soy_Sauce,Vegetable_Oil",0,2.1797845,7.8390164
Chicken_Noodle_Soup,Chicken Noodle Soup,Ahold;,NoCertificate,"Water,Carrots,Water,Modified_Cornstarch,Salt,Egg_White,Whole_Egg,Niacin,Ferrous_Sulfate,Thiamin_Mononitrate,Riboflavin,Potato_Starch,Chicken_Juices,Potato_Flour,Flavorings,Celery,Chicken_Fat,Potassium_chloride,Natural_Flavor,Organic,Celeriac_Concentration,Spice,White_Chicken_Meat,Sodium_Phosphate,Semolina,Chicken_Meat,Carrot_Powder,Folic_Acid",3,0.5744641,13.483268
